"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Charone Peake (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Devin Lucien (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cody Core (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alex Erickson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alonzo Russell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jordan Payton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Keenan Reynolds (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Demarcus Ayers (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Canaan Severin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mekale McKay (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jamal Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Wendall Williams (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dom Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jamaal Jones (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mitch Mathews (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyreek Hill (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"Johnny Holton (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Brown (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
