"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Khalid Abdullah (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kalif Phillips (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"William Stanback (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyler Renew (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"John Robinson-Woodgett (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Matt Breida (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyler McCloskey (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Gump Hayes (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"James Summers (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Lenard Tillery (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"De'Mard Llorens (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Algernon Brown (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Joel Bouagnon (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Shane Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devonta Freeman (ATL)","264","1,061","4.0","39","6","11","73","97","578","7.9","3","2","15","316.9","21.1","99.0%"
"Adrian Peterson (NO)","327","1,485","4.5","80","10","11","30","36","222","7.4","0","3","16","260.7","16.3","88.0%"
"Danny Woodhead (BAL)","97","335","3.5","27","1","3","81","107","756","9.3","6","0","16","244.1","15.3","42.0%"
"Doug Martin (TB)","288","1,402","4.9","84","14","6","33","44","271","8.2","1","5","16","232.3","14.5","63.0%"
"Lamar Miller (HOU)","194","872","4.5","85","7","8","47","57","397","8.4","2","1","16","231.9","14.5","98.0%"
"Matt Forte (NYJ)","218","898","4.1","27","4","4","44","58","389","8.8","3","1","13","214.7","16.5","57.0%"
"David Johnson (ARI)","125","581","4.6","47","3","8","36","57","457","12.7","4","1","16","209.8","13.1","100.0%"
"Todd Gurley (LAR)","229","1,108","4.8","71","12","10","21","26","188","9.0","0","1","13","208.6","16.0","98.0%"
"Mark Ingram (NO)","166","769","4.6","70","5","6","50","60","405","8.1","0","1","12","203.4","17.0","91.0%"
"Latavius Murray (MIN)","267","1,066","4.0","54","9","6","41","53","232","5.7","0","2","16","202.8","12.7","61.0%"
"Chris Ivory (JAC)","247","1,070","4.3","58","9","7","30","37","217","7.2","1","2","15","202.7","13.5","5.0%"
"Darren McFadden (DAL)","239","1,089","4.6","50","9","3","40","53","328","8.2","0","3","16","195.7","12.2","13.0%"
"Frank Gore (IND)","260","967","3.7","37","5","6","34","58","267","7.9","1","3","16","193.4","12.1","79.0%"
"DeMarco Murray (TEN)","194","699","3.6","54","5","6","44","55","322","7.3","1","2","15","184.1","12.3","99.0%"
"Giovani Bernard (CIN)","154","730","4.7","28","2","2","49","66","472","9.6","0","0","16","181.2","11.3","14.0%"
"Charles Sims (TB)","107","529","4.9","59","4","0","51","70","561","11.0","4","2","16","180.0","11.3","11.0%"
"Theo Riddick (DET)","43","133","3.1","16","0","0","80","99","697","8.7","3","1","16","179.0","11.2","26.0%"
"LeSean McCoy (BUF)","203","895","4.4","48","6","3","32","50","292","9.1","2","2","12","178.7","14.9","99.0%"
"Jeremy Hill (CIN)","223","794","3.6","38","1","11","15","19","79","5.3","1","3","16","170.3","10.6","47.0%"
"Duke Johnson (CLE)","104","379","3.6","39","2","0","61","74","534","8.8","2","0","16","164.3","10.3","22.0%"
"Jonathan Stewart (CAR)","242","989","4.1","44","4","6","16","21","99","6.2","1","2","13","162.8","12.5","59.0%"
